iter	Passed	Remaining
861	1708	273
862	1709	271
863	1710	269
864	1710	267
865	1711	264
866	1712	262
867	1718	261
868	1725	260
869	1728	258
870	1730	256
871	1732	254
872	1734	252
873	1736	250
874	1738	248
875	1740	246
876	1742	244
877	1744	242
878	1745	240
879	1746	238
880	1747	236
881	1748	233
882	1749	231
883	1750	229
884	1751	227
885	1753	225
886	1754	223
887	1755	221
888	1756	219
889	1757	217
890	1758	215
891	1759	213
892	1760	210
893	1761	208
894	1762	206
895	1772	205
896	1775	203
897	1778	202
898	1781	200
899	1783	198
900	1785	196
901	1787	194
902	1789	192
903	1791	190
904	1792	188
905	1794	186
906	1795	184
907	1797	182
908	1798	180
909	1799	178
910	1800	175
911	1802	173
912	1803	171
913	1804	169
914	1805	167
915	1806	165
916	1807	163
917	1808	161
918	1809	159
919	1810	157
920	1811	155
921	1812	153
922	1813	151
923	1821	149
924	1825	148
925	1828	146
926	1831	144
927	1833	142
928	1835	140
929	1837	138
930	1839	136
931	1840	134
932	1842	132
933	1843	130
934	1845	128
935	1846	126
936	1847	124
937	1849	122
938	1850	120
939	1851	118
940	1852	116
941	1853	114
942	1854	112
943	1855	110
944	1856	108
945	1857	106
946	1858	104
947	1859	102
948	1860	99
949	1861	97
950	1862	95
951	1869	94
952	1874	92
953	1877	90
954	1880	88
955	1882	86
956	1884	84
957	1886	82
958	1888	80
959	1889	78
960	1890	76
961	1892	74
962	1894	72
963	1896	70
964	1897	68
965	1898	66
966	1899	64
967	1900	62
968	1902	60
969	1903	58
970	1904	56
971	1906	54
972	1907	52
973	1908	50
974	1909	48
975	1916	47
976	1922	45
977	1925	43
978	1928	41
979	1930	39
980	1933	37
981	1935	35
982	1936	33
983	1938	31
984	1940	29
985	1941	27
986	1943	25
987	1944	23
988	1945	21
989	1947	19
990	1948	17
991	1949	15
992	1950	13
993	1951	11
994	1952	9
995	1954	7
996	1955	5
997	1956	3
998	1957	1
999	1958	0
